i_idProducto	s_codigoBarra	dc_pvpSugerido	dt_fechaPVPS
7301	7800041047414	7490.0000	2024-02-13 00:00:00
7302	7800060003675	23990.0000	2024-02-13 00:00:00
7303	7800060003651	19260.0000	2024-02-13 00:00:00
7304	7800060003026	23950.0000	2024-02-13 00:00:00
7305	7800060111189	17290.0000	2024-02-13 00:00:00
7306	7800060017405	26940.0000	2024-02-13 00:00:00
7307	7800060017245	24560.0000	2024-02-13 00:00:00
7309	7800060113633	19450.0000	2024-02-13 00:00:00
7311	7800060005570	24790.0000	2024-02-13 00:00:00
7312	7800060005648	12390.0000	2024-02-13 00:00:00
7314	7800060014497	20090.0000	2024-02-13 00:00:00
7319	7800060003057	16990.0000	2024-02-13 00:00:00
7322	7800060003095	19190.0000	2024-02-13 00:00:00
7323	7800060011816	19490.0000	2024-02-13 00:00:00
7328	7800060411920	47260.0000	2024-02-13 00:00:00
7330	7800060114364	37090.0000	2024-02-13 00:00:00
7331	7800060030183	28990.0000	2024-02-13 00:00:00
7334	7800060007130	22590.0000	2024-02-13 00:00:00
7335	7800060018174	36790.0000	2024-02-13 00:00:00
7340	7800060001848	26490.0000	2024-02-13 00:00:00
7342	7800060110106	22590.0000	2024-02-13 00:00:00
7343	7800060116221	15890.0000	2024-02-13 00:00:00
7344	7800060110885	15890.0000	2024-02-13 00:00:00
7345	7800060111691	28890.0000	2024-02-13 00:00:00
7351	7800060112742	12990.0000	2024-02-13 00:00:00
7352	7800060118195	21590.0000	2024-02-13 00:00:00
7353	7800060117709	17490.0000	2024-02-13 00:00:00
7357	7800060113206	25990.0000	2024-02-13 00:00:00
7358	7800060115767	33990.0000	2024-02-13 00:00:00
7359	7800060011205	15290.0000	2024-02-13 00:00:00
7360	7800060116917	18490.0000	2024-02-13 00:00:00
7361	7800060112902	22090.0000	2024-02-13 00:00:00
7362	7800060007642	19490.0000	2024-02-13 00:00:00
7363	7800060007635	11090.0000	2024-02-13 00:00:00
7365	7800060115330	29990.0000	2024-02-13 00:00:00
7366	7800060015548	11490.0000	2024-02-13 00:00:00
7367	7800060014817	11290.0000	2024-02-13 00:00:00
7369	7800060008366	25790.0000	2024-02-13 00:00:00
7374	7800060405332	21490.0000	2024-02-13 00:00:00
7375	7800060405417	19990.0000	2024-02-13 00:00:00
7376	7800060405516	27490.0000	2024-02-13 00:00:00
7377	7800060405684	26090.0000	2024-02-13 00:00:00
7378	7800060405769	34090.0000	2024-02-13 00:00:00
7379	7800060404281	5490.0000	2024-02-13 00:00:00
7381	7800060402744	5050.0000	2024-02-13 00:00:00
7382	7800060403987	6290.0000	2024-02-13 00:00:00
7385	7800060404113	7990.0000	2024-02-13 00:00:00
7387	7800060410176	30390.0000	2024-02-13 00:00:00
7389	7800060403710	26890.0000	2024-02-13 00:00:00
7393	7800060403475	13190.0000	2024-02-13 00:00:00
7394	7800060401341	62690.0000	2024-02-13 00:00:00
7395	7800060403123	10190.0000	2024-02-13 00:00:00
