RESPALDO DE PRODUCTOS - 20-04-2026 16:38
Servidor: 192.168.0.100 | Base de datos: dbecosur | Total: 34118 productos
==============================================================================================================
ID       DESCRIPCION                                                         PVP_SUGERIDO EST    CODIGOS_BARRA
29688    A.BAND.MEDITERRANEO 100ML+POLERA                                               - ACTV   7807706292820
13260    A.BAND.MEDITERRANEO 100ML.                                               $17,990 ACTV   3877706291998|7807706294640|8411061027011|8411061027288|8411061579824
36392    A.BAND.MEDITERRANEO 100ML.S/CAJA                                               - ACTV   1013421
17113    A.BAND.MEDITERRANEO 200ML                                                 $1,690 ACTV   8411061705919
10954    A.BAND.MEDITERRANEO 50ML                                                  $7,990 ACTV   7706212320099|8411061292488
32571    A.BAND.MEDITERRANEO 50ML+AF.SHAVE BAL.                                   $13,990 ACTV   8411061808504|8411061834367|8411061876428
39351    A.BAND.MEDITERRANEO 50ML+AF.SHAVE BAL.                                   $13,990 ACTV   8411061918487
16157    A.BAND.MEDITERRANEO 50ML+DES.SP.150ML                                     $9,990 ACTV   7706251274063|8411061787526|8411061808559
40206    A.BAND.MEDITERRANEO 50ML+DES.SP.150ML                                     $9,990 ACTV   8411061919491
34271    A.BAND.MEDITERRANEO DELUXE ED.100ML                                      $17,990 ACTV   8411061834466|8411061897997
29880    A.BAND.MEDITERRANEO DES.SP.150ML                                               - ACTV   8411061291580
39752    A.BAND.POWER OF SEDUCTION 100ML                                          $17,990 ACTV   8411061913024
39753    A.BAND.POWER OF SEDUCTION 50ML                                           $17,990 ACTV   8411061917510
34534    A.BAND.QUEEN OF SEDUCTION 50ML                                           $17,990 ACTV   7807706296071|8411061820117
39413    A.BAND.QUEEN OF SEDUCTION 50ML                                            $9,990 ACTV   8411061982044
34879    A.BAND.QUEEN OF SEDUCTION 50ML+B/LOTION 50ML                             $14,990 ACTV   8411061834879
36464    A.BAND.QUEEN OF SEDUCTION 50ML+DES.SP.150ML                              $14,990 ACTV   8411061891582
35073    A.BAND.QUEEN OF SEDUCTION 80ML                                           $19,990 ACTV   8411061820100
35069    A.BAND.QUEEN OF SEDUCTION 80ML+DES.SP.150ML                              $14,990 ACTV   84110618201179|8411061820179
40373    A.BAND.QUEEN OF SEDUCTION ABS.DIVA 80ML                                        - ACTV   8411061912997
30378    A.BAND.SEDUCTION BLACK 100ML+DES.SP. 150ML                                     - ACTV   8411061708941
33978    A.BAND.SEDUCTION BLACK 100ML+NECESAIRE                                   $14,990 ACTV   8411061765708
30118    A.BAND.SEDUCTION BLACK EDT MEN 30ML                                       $9,990 ACTV   7807706294350
29692    A.BAND.SEDUCTION IN BLACK 100ML+AF.SHAVE 100ML                                 - ACTV   8411061768242
32576    A.BAND.SEDUCTION IN BLACK 50ML+AFT.SHAVE BALM100ML                       $13,990 ACTV   8411061807781
30092    A.BAND.SEDUCTION IN BLACK 50ML+DES.SP.150ML                              $14,990 ACTV   8411061768259
